input_doi,matched_doi
10.48550/arxiv.1004.0480,10.1016/j.chemolab.2011.03.009
10.48550/arxiv.0811.2647,10.1103/physreva.79.012301
10.48550/arxiv.1702.00006,10.1103/physrevlett.118.233901
10.48550/arxiv.2105.09164,10.3847/2041-8213/ac0259
10.48550/arxiv.2209.07464,10.1038/s41550-022-01773-1
10.48550/arxiv.2205.15684,10.1103/physrevd.106.116005
10.48550/arxiv.1405.1114,10.4204/eptcs.150.3
10.48550/arxiv.0904.4315,10.1088/1367-2630/11/5/055054
10.48550/arxiv.physics/0403037,10.1142/s0217751x05031241
10.48550/arxiv.1211.2821,10.1088/0004-637x/776/2/81
10.48550/arxiv.math/0703043,10.3842/sigma.2007.036
10.48550/arxiv.gr-qc/9505022,10.1007/bfb0103573
10.48550/arxiv.physics/0308056,10.1103/physreva.69.042514
10.48550/arxiv.hep-th/0112138,10.1016/s0370-2693(02)01654-4
10.48550/arxiv.2102.09315,10.1007/s10955-022-02884-9
10.48550/arxiv.1007.4341,10.1016/j.physletb.2010.09.063
10.48550/arxiv.1909.11889,10.1007/s10701-019-00298-4
10.48550/arxiv.0901.0565,10.1088/0004-6256/137/3/3541
10.48550/arxiv.1910.12089,10.1093/mnras/stz2992
10.48550/arxiv.2012.05575,10.1051/0004-6361/202039601
10.48550/arxiv.hep-ph/9412345,10.1016/0550-3213(95)00416-p
10.48550/arxiv.2401.12830,10.1016/j.engappai.2024.109266
10.48550/arxiv.0905.4489,10.1103/physreva.80.043410
10.48550/arxiv.1202.3626,10.1051/0004-6361/201118576
10.48550/arxiv.1810.13050,10.1016/j.jalgebra.2019.05.024
10.48550/arxiv.astro-ph/0611214,10.1007/978-3-540-73484-0_44
10.48550/arxiv.1401.6338,10.1109/tit.2014.2329490
10.48550/arxiv.hep-th/0105262,10.1142/s0217732303011198
10.48550/arxiv.1310.4684,10.1088/1751-8113/47/13/135303
10.48550/arxiv.1707.05177,10.1007/s11356-017-9612-2
10.48550/arxiv.2204.09682,10.1007/jhep09(2022)020
10.48550/arxiv.2311.06860,10.1140/epjc/s10052-024-12654-4
10.48550/arxiv.2110.10140,10.1007/jhep11(2021)228
10.48550/arxiv.0806.1225,10.1103/physrevc.79.011901
10.48550/arxiv.1108.4205,10.1088/0067-0049/197/2/26
10.48550/arxiv.1404.1755,10.1039/c4dt00452c
10.48550/arxiv.2102.13554,10.53921/18195822_2022_22_2_29
10.48550/arxiv.1404.5038,10.1093/ptep/ptv155
10.48550/arxiv.0807.3204,10.1117/12.790305
10.48550/arxiv.hep-ph/0403004,10.1103/physrevd.70.077701
10.48550/arxiv.1305.2865,10.5120/10049-4636
10.48550/arxiv.2107.07644,10.1016/j.cpc.2021.108282
10.48550/arxiv.1610.08398,10.1112/s0010437x18007893
10.48550/arxiv.1901.03548,10.1017/jfm.2020.240
10.48550/arxiv.1702.08046,10.1051/0004-6361/201630143
10.48550/arxiv.1903.08271,10.1103/physreve.100.042108
10.48550/arxiv.0910.1208,10.1103/physrevb.79.153304
10.48550/arxiv.quant-ph/0507185,10.1103/physreva.73.013617
10.48550/arxiv.1409.7361,10.1007/jhep01(2015)084
10.48550/arxiv.chem-ph/9502007,10.1103/physreve.53.1725
10.48550/arxiv.hep-ph/9910250,10.1103/physrevd.61.096004
10.48550/arxiv.1201.5617,10.1088/0004-637x/753/1/63
10.48550/arxiv.1506.02817,10.1016/j.physletb.2015.11.054
10.48550/arxiv.2103.15446,10.1145/3393822.3432314
10.48550/arxiv.1401.5332,10.1103/physreve.89.022301
10.48550/arxiv.1505.07509,10.26421/qic16.5-6-3
10.48550/arxiv.cond-mat/9812020,10.1103/physrevb.59.2609
10.48550/arxiv.0911.1280,10.1088/0004-6256/139/2/342
10.48550/arxiv.1001.2739,10.1103/physreva.81.033840
10.48550/arxiv.1810.07398,10.1007/s12043-021-02134-9
10.48550/arxiv.cond-mat/9704109,10.1209/epl/i1997-00260-6
10.48550/arxiv.0904.3433,10.1016/j.endm.2009.07.101
10.48550/arxiv.2109.02687,10.3847/1538-4357/ac1e96
10.48550/arxiv.hep-ph/0405294,10.1142/s0217751x05019749
10.48550/arxiv.1902.04406,10.1155/2019/4026856
10.48550/arxiv.physics/0107077,10.1103/physreve.63.046304
10.48550/arxiv.1410.2840,10.1214/15-aoas896
10.48550/arxiv.astro-ph/0412241,10.1142/s0218271805006559
10.48550/arxiv.1601.06373,10.1002/mma.4249
10.48550/arxiv.1009.1815,10.1103/physrevb.82.184416
10.48550/arxiv.hep-ph/0203199,10.1103/physrevd.65.114023
10.48550/arxiv.1705.06069,10.1103/physreve.96.033203
10.48550/arxiv.1906.04195,10.1051/0004-6361/201935952
10.48550/arxiv.1504.07367,10.1007/s00039-017-0395-x
10.48550/arxiv.cond-mat/0008220,10.1103/physrevb.70.052504
10.48550/arxiv.astro-ph/0301344,10.1046/j.1365-8711.2003.06688.x
10.48550/arxiv.2006.02618,10.1140/epjc/s10052-020-8358-z
10.48550/arxiv.1402.2772,10.1088/1742-5468/2014/11/p11031
10.48550/arxiv.0804.0902,10.1016/j.physa.2008.05.057
10.48550/arxiv.1502.03150,10.5506/aphyspolb.46.931
10.48550/arxiv.2009.14027,10.1103/physrevphyseducres.17.010109
10.48550/arxiv.0906.4080,10.1112/jlms/jdq034
10.48550/arxiv.2006.16964,10.1109/mis.2016.86
10.48550/arxiv.1712.05692,10.1126/scitranslmed.aal5088
10.48550/arxiv.1712.07355,10.7566/jpsj.87.014005
10.48550/arxiv.1101.3151,10.1007/jhep12(2010)033
10.48550/arxiv.1911.03376,10.1103/physrevmaterials.4.064602
10.48550/arxiv.2112.14051,10.4204/eptcs.351.6
10.48550/arxiv.hep-th/9403139,10.1143/ptp.91.839
10.48550/arxiv.1803.09763,10.3847/1538-4357/aab71f
10.48550/arxiv.1910.06833,10.1007/s10955-020-02518-y
10.48550/arxiv.0902.4466,10.1103/physrevd.79.123009
10.48550/arxiv.hep-th/0510107,10.1088/0305-4470/39/11/012
10.48550/arxiv.0908.3717,10.1143/jpsj.78.124004
10.48550/arxiv.hep-ph/0004075,10.1103/physrevd.62.093009
10.48550/arxiv.2311.11951,10.1007/s10773-022-05048-3
10.48550/arxiv.2102.00125,10.1007/s11785-020-01060-9
10.48550/arxiv.1011.2776,10.1016/j.msea.2012.05.011
10.48550/arxiv.2112.15197,10.1103/physreva.105.042804
10.48550/arxiv.astro-ph/9508106,10.1103/physrevd.52.6664
10.48550/arxiv.1602.03909,10.3847/2041-8205/820/1/l1
10.48550/arxiv.math/0506608,10.1007/978-3-7643-7776-2_1
10.48550/arxiv.0707.2273,10.1088/1751-8113/40/42/s02
10.48550/arxiv.astro-ph/0508134,10.1103/physrevd.72.123501
10.48550/arxiv.hep-ph/0007024,10.1007/s006010170001
10.48550/arxiv.1606.03022,10.1038/srep36834
10.48550/arxiv.2102.08391,10.1093/mnras/stab488
10.48550/arxiv.0812.1384,
10.48550/arxiv.astro-ph/0302277,10.1051/0004-6361:20031292
10.48550/arxiv.1703.04568,10.1016/j.jss.2015.01.028
10.48550/arxiv.2101.02951,10.1103/physrevd.103.104010
10.48550/arxiv.1610.08002,10.1007/s00211-017-0910-x
10.48550/arxiv.astro-ph/9905163,10.1051/aas:2000308
10.48550/arxiv.1601.05217,10.1140/epjc/s10052-016-4180-z
10.48550/arxiv.2104.13678,10.1016/j.aim.2022.108680
10.48550/arxiv.1908.09828,10.1109/tits.2020.3032473
10.48550/arxiv.2407.00594,10.1093/pasj/psae061
10.48550/arxiv.1904.05855,10.1177/1081286519865003
10.48550/arxiv.2311.05705,10.1007/s12648-024-03103-9
10.48550/arxiv.1909.01699,10.1093/pasj/psz109
10.48550/arxiv.hep-ph/9708235,10.1103/physrevd.57.1694
10.48550/arxiv.hep-lat/0501003,10.1103/physrevd.71.094012
10.48550/arxiv.hep-th/9902067,10.1103/physrevd.60.044001
10.48550/arxiv.cond-mat/9809165,
10.48550/arxiv.1212.5508,10.1063/1.4797468
10.48550/arxiv.1802.10195,10.1364/optica.4.000809
10.48550/arxiv.cond-mat/0308317,10.1103/physrevb.70.045311
10.48550/arxiv.1510.05624,10.1088/1742-5468/2016/05/054016
10.48550/arxiv.1510.08503,10.1088/0953-4075/49/22/225001
10.48550/arxiv.cond-mat/0111344,10.1103/physrevlett.88.120405
10.48550/arxiv.1605.02016,10.1016/j.physrep.2016.05.001
10.48550/arxiv.2208.10858,10.1145/3552467.3554794
10.48550/arxiv.nlin/0005056,10.1016/s0167-2789(01)00178-6
10.48550/arxiv.cond-mat/0210296,10.1103/physrevlett.90.196403
10.48550/arxiv.1906.10722,10.1007/s11005-020-01310-z
10.48550/arxiv.1510.05673,10.1093/mnras/stv2393
10.48550/arxiv.1108.1325,10.1103/physreve.84.046104
10.48550/arxiv.hep-th/0510255,10.1063/1.2735238
10.48550/arxiv.2103.13327,10.1007/s10957-022-02012-3
10.48550/arxiv.2208.04266,10.1088/1475-7516/2023/02/017
10.48550/arxiv.2004.08594,10.1103/physrevlett.124.156601
10.48550/arxiv.1702.02952,10.1103/physrevb.95.155133
10.48550/arxiv.cond-mat/0610010,10.1103/physreve.74.051707
10.48550/arxiv.1411.5255,10.1109/tvlsi.2014.2371857
10.48550/arxiv.2207.08404,10.1016/j.jnnfm.2021.104570
10.48550/arxiv.2211.01946,10.2352/issn.2694-118x.2021.lim-68
10.48550/arxiv.2006.08584,10.1016/j.indag.2022.12.004
10.48550/arxiv.1810.07018,10.1063/1.5097821
10.48550/arxiv.2502.05104,10.31224/4361
10.48550/arxiv.1506.03597,10.1140/epjst/e2015-50320-7
10.48550/arxiv.2204.00963,10.1145/3524610.3527883
10.48550/arxiv.math/0309285,10.1109/lsp.2001.838216
10.48550/arxiv.1707.09743,10.1007/s11242-015-0573-y
10.48550/arxiv.1201.5578,10.1186/1687-4153-2012-5
10.48550/arxiv.1802.09906,10.1016/j.icarus.2019.05.036
10.48550/arxiv.0904.1223,10.1103/physrevb.79.184512
10.48550/arxiv.0706.0531,10.1515/crelle.2012.024
10.48550/arxiv.1812.06455,10.1145/3297280.3297502
10.48550/arxiv.gr-qc/9709014,10.1103/physrevd.56.r6057
10.48550/arxiv.1305.0998,10.1088/2041-8205/770/1/l9
10.48550/arxiv.2205.02234,10.1103/physrevd.106.095037
10.48550/arxiv.cond-mat/0405056,10.1063/1.1828031
10.48550/arxiv.cond-mat/0501377,10.1103/physrevb.71.165409
10.48550/arxiv.1209.2314,10.1142/s021773231250201x
10.48550/arxiv.2412.15585,10.1017/apr.2021.18
10.48550/arxiv.1407.4929,10.1016/s0034-4877(15)30004-5
10.48550/arxiv.cond-mat/0002112,10.1103/physrevlett.84.6094
10.48550/arxiv.1901.05399,10.1103/physrevd.99.055024
10.48550/arxiv.2301.06614,10.1016/j.dark.2023.101175
10.48550/arxiv.1705.08436,10.1016/j.jmmm.2017.05.064
10.48550/arxiv.2203.04252,10.1016/j.physa.2019.121736
10.48550/arxiv.0809.3722,10.1088/0004-637x/697/2/2102
10.48550/arxiv.cond-mat/0407712,10.1134/1.1825122
10.48550/arxiv.2111.14253,10.3390/axioms11010013
10.48550/arxiv.1212.1245,10.1109/tsp.2013.2280444
10.48550/arxiv.cond-mat/0701693,10.1007/s00339-007-4206-3
10.48550/arxiv.1909.09636,
10.48550/arxiv.1910.00338,10.1103/physreve.100.032138
10.48550/arxiv.1209.2343,10.1039/c3sm27851d
10.48550/arxiv.2103.06282,10.1103/physrevresearch.3.033133
10.48550/arxiv.1606.04092,10.1051/0004-6361/201628816
10.48550/arxiv.2201.07065,10.1140/epjc/s10052-022-10300-5
10.48550/arxiv.astro-ph/0008336,10.1007/978-94-017-3313-7_54
10.48550/arxiv.1401.3275,10.1142/s0217732314501338
10.48550/arxiv.2312.07740,10.3390/s24113372
10.48550/arxiv.1211.1007,10.1088/2041-8205/761/1/l6
10.48550/arxiv.2109.10296,10.1093/mnras/stab2772
10.48550/arxiv.1005.0395,10.1103/physrevd.82.042002
10.48550/arxiv.2206.10601,10.31235/osf.io/2y5vj
10.48550/arxiv.1905.03463,10.1016/j.jeconom.2019.08.017
10.48550/arxiv.0707.1310,10.1086/521271
10.48550/arxiv.2207.03706,10.1051/cocv/2023012
10.48550/arxiv.0803.1796,10.22323/1.096.0013
10.48550/arxiv.astro-ph/0005545,10.1086/312878
10.48550/arxiv.1006.3000,10.1088/0951-7715/24/6/011
10.48550/arxiv.hep-th/0403193,10.1088/1126-6708/2004/05/014
10.48550/arxiv.cond-mat/9910250,10.1103/physreve.62.2510
10.48550/arxiv.1607.08866,10.1103/physreve.94.033005
10.48550/arxiv.1712.07954,10.1007/s00023-019-00767-6
10.48550/arxiv.2203.16193,10.21437/interspeech.2022-373
10.48550/arxiv.0709.4059,10.1103/physreva.78.012348
10.48550/arxiv.0811.2271,
10.48550/arxiv.cond-mat/9603069,10.1209/epl/i1996-00269-3
10.48550/arxiv.1310.6714,10.1007/s10948-012-1431-6
10.48550/arxiv.0802.2148,10.1103/physrevb.77.180512
10.48550/arxiv.hep-th/0511019,10.1088/0305-4470/39/28/s01
10.48550/arxiv.gr-qc/0402079,10.1103/physrevd.70.044031
10.48550/arxiv.astro-ph/9802160,10.1086/311268
10.48550/arxiv.1107.0481,10.1103/physrevb.84.085121
10.48550/arxiv.0710.3912,10.3103/s105513440801001x
10.48550/arxiv.2109.11428,10.1109/tnnls.2021.3105827
10.48550/arxiv.1203.1764,10.1007/s11232-012-0109-3
10.48550/arxiv.1907.06579,10.1112/jlms.12395
10.48550/arxiv.0711.2309,10.1103/physreva.77.051601
10.48550/arxiv.1304.3690,10.1088/1751-8113/46/16/165302
10.48550/arxiv.1410.7629,10.1088/1367-2630/17/2/022003
10.48550/arxiv.1412.3224,
10.48550/arxiv.1604.07318,10.1109/icc.2016.7510960
10.48550/arxiv.cond-mat/0201035,10.1209/epl/i2002-00109-0
10.48550/arxiv.1011.3691,10.1088/1742-6596/284/1/012020
10.48550/arxiv.1608.03539,10.1093/mnras/stw1868
10.48550/arxiv.hep-ph/9608459,10.1103/physrevc.56.1700
10.48550/arxiv.1807.00770,10.4171/jca/45
10.48550/arxiv.1806.09450,10.1142/s0217751x1850118x
10.48550/arxiv.1403.4297,10.1007/jhep01(2015)097
10.48550/arxiv.1310.5894,10.1063/1.4829659
10.48550/arxiv.quant-ph/0611239,10.1119/1.2423040
10.48550/arxiv.nlin/0512007,10.1017/s0022112005008384
10.48550/arxiv.cond-mat/0604623,10.1103/physrevb.74.121301
10.48550/arxiv.1003.3798,
10.48550/arxiv.2001.08019,10.7566/jpsj.89.094001
10.48550/arxiv.1806.11133,10.1093/mnras/sty1738
10.48550/arxiv.0806.0166,10.1209/0295-5075/87/60001
10.48550/arxiv.astro-ph/0307490,10.1086/378611
10.48550/arxiv.1403.0738,10.1109/icassp.2014.6853622
10.48550/arxiv.2212.13522,10.1016/j.jmaa.2023.127519
10.48550/arxiv.2004.12028,10.1111/biom.13424
10.48550/arxiv.1912.00630,10.1021/acsnano.9b08699
10.48550/arxiv.cond-mat/0703545,10.1103/physrevb.77.033409
10.48550/arxiv.1711.05459,10.1134/s0021364018090011
10.48550/arxiv.cond-mat/0001343,10.1103/physrevlett.84.6018
10.48550/arxiv.1606.06256,10.1137/16m1080240
10.48550/arxiv.0705.0524,10.1515/crelle.2009.012
10.48550/arxiv.1212.2983,10.1103/physrevb.87.115144
10.48550/arxiv.0911.2557,10.1103/physrevd.81.106005
10.48550/arxiv.1010.3930,10.1016/j.nima.2011.01.177
10.48550/arxiv.2303.08791,10.1021/acs.nanolett.3c03715
10.48550/arxiv.1405.3877,10.1103/physrevc.90.054911
10.48550/arxiv.0804.0553,10.1016/j.physletb.2008.02.062
10.48550/arxiv.0806.0371,10.1086/591522
10.48550/arxiv.1806.05367,10.1051/0004-6361/201833618
10.48550/arxiv.astro-ph/0604231,10.1111/j.1365-2966.2007.11715.x
10.48550/arxiv.2310.11774,10.1088/1361-648x/ad21a8
10.48550/arxiv.0901.2728,10.1007/s10948-010-1123-z
10.48550/arxiv.gr-qc/0401116,10.1088/1742-6596/68/1/012027
10.48550/arxiv.2112.05525,10.1073/pnas.2121641119
10.48550/arxiv.hep-ph/0107259,10.1103/physrevd.65.013007
10.48550/arxiv.2006.04158,10.1051/epjconf/202024510005
10.48550/arxiv.1610.02204,10.1103/physrevlett.117.036801
10.48550/arxiv.2107.11344,10.1038/s41535-022-00454-6
10.48550/arxiv.1609.09222,10.1007/s10955-017-1761-7
10.48550/arxiv.cond-mat/9508061,
10.48550/arxiv.hep-th/0202188,10.1103/physrevd.66.025030
10.48550/arxiv.1801.03095,10.1051/0004-6361/201732151
10.48550/arxiv.1701.03707,10.1103/physrevlett.118.133901
10.48550/arxiv.1504.02421,10.1209/0295-5075/111/30007
10.48550/arxiv.2006.00048,10.1007/s43546-021-00073-6
10.48550/arxiv.0909.1107,10.1007/978-3-7643-9994-8_6
10.48550/arxiv.0905.3741,10.1088/0004-637x/699/2/l88
10.48550/arxiv.1108.2601,10.1111/j.1365-2966.2011.19589.x
10.48550/arxiv.2008.09315,10.1016/j.robot.2021.103732
10.48550/arxiv.2004.09577,10.1103/physrevresearch.2.033017
10.48550/arxiv.1307.0704,10.1103/physrevlett.112.220602
10.48550/arxiv.astro-ph/0608195,10.1086/512600
10.48550/arxiv.1707.06726,10.3934/dcdss.2020001
10.48550/arxiv.2007.06619,10.1103/physrevresearch.2.043264
10.48550/arxiv.hep-ph/0008149,10.1063/1.1345279
10.48550/arxiv.1408.5239,10.1103/physrevlett.114.095301
10.48550/arxiv.1510.05605,10.1021/acsami.5b07492
10.48550/arxiv.cond-mat/0411055,10.1142/s0129183105007352
10.48550/arxiv.1604.02073,10.1007/s12220-017-9767-6
10.48550/arxiv.1503.04842,10.1103/physrevlett.115.036602
10.48550/arxiv.2405.20172,10.1007/s10489-024-05536-5
10.48550/arxiv.1804.09698,10.3390/e21010049
10.48550/arxiv.1806.00718,10.1073/pnas.1808660115
