input_doi,matched_doi,confidence
10.48550/arxiv.1111.6413,10.2140/agt.2013.13.625,1.0000
10.48550/arxiv.1106.4314,10.1209/0295-5075/97/57001,0.9429
10.48550/arxiv.hep-ph/9307356,10.1103/physrevd.50.266,0.9878
10.48550/arxiv.1912.00441,10.1093/pasj/psaa017,0.9956
10.48550/arxiv.1903.01677,10.5802/crmath.9,1.0000
10.48550/arxiv.1609.03520,10.1093/mnras/stw2357,0.9465
10.48550/arxiv.cond-mat/0107106,10.1140/epjb/e20020094,0.9886
10.48550/arxiv.0704.3148,10.1007/s10714-007-0492-5,1.0000
10.48550/arxiv.1101.1956,10.1051/0004-6361/201015825,1.0000
10.48550/arxiv.1002.4661,10.4204/eptcs.19.1,1.0000
10.48550/arxiv.astro-ph/0212387,10.1051/0004-6361:20030162,1.0000
10.48550/arxiv.1805.07125,10.1007/s12220-020-00437-8,1.0000
10.48550/arxiv.1609.06958,10.1103/physrevlett.118.144503,1.0000
10.48550/arxiv.2205.09808,10.3847/1538-4357/ac713c,0.9886
10.48550/arxiv.1703.02803,10.1103/physrevd.97.024015,1.0000
10.48550/arxiv.cond-mat/0410727,10.1016/j.physleta.2004.09.049,1.0000
10.48550/arxiv.2006.12907,10.1002/mma.7162,0.9335
10.48550/arxiv.0805.4479,10.1142/s0217751x09042967,0.9765
10.48550/arxiv.1904.09922,10.30757/alea.v18-23,1.0000
10.48550/arxiv.1908.00527,10.1103/physrevd.100.121501,1.0000
10.48550/arxiv.1804.09578,10.1109/tnnls.2019.2935384,1.0000
10.48550/arxiv.1707.07957,10.1016/j.chaos.2017.11.019,1.0000
10.48550/arxiv.0906.4223,10.1088/1674-4527/10/6/005,1.0000
10.48550/arxiv.hep-th/9612064,10.1016/s0550-3213(97)00298-8,1.0000
10.48550/arxiv.2208.03623,10.1002/andp.202200140,1.0000
10.48550/arxiv.hep-ph/0108132,10.1103/physrevd.65.016002,0.9908
10.48550/arxiv.1101.2842,10.1134/s0021364011070046,1.0000
10.48550/arxiv.nlin/0005047,10.1088/0305-4470/33/47/307,1.0000
10.48550/arxiv.2012.13136,10.1007/s11263-019-01206-z,0.8824
10.48550/arxiv.1612.04503,10.3847/2041-8213/834/1/l3,1.0000
10.48550/arxiv.astro-ph/9307040,10.1086/174505,0.9620
10.48550/arxiv.1002.0399,10.1016/j.physletb.2010.07.003,1.0000
10.48550/arxiv.2001.00589,10.1038/s41535-020-0228-2,1.0000
10.48550/arxiv.1404.5649,10.1093/mnras/stu765,1.0000
10.48550/arxiv.2306.10304,,
10.48550/arxiv.1107.4061,10.1103/physrevb.84.195468,1.0000
10.48550/arxiv.0911.2526,10.1103/physrevb.80.172301,1.0000
10.48550/arxiv.1804.06766,10.1098/rspa.2018.0264,1.0000
10.48550/arxiv.1109.1406,10.1140/epjc/s10052-011-1808-x,0.9773
10.48550/arxiv.1203.1847,10.1103/physrevb.85.195406,0.9903
10.48550/arxiv.1209.1636,10.1051/0004-6361/201220050,0.9996
10.48550/arxiv.1103.5788,10.1016/j.nima.2011.08.060,1.0000
10.48550/arxiv.1912.06516,10.1103/physrevb.101.014103,1.0000
10.48550/arxiv.1409.3586,10.1093/mnras/stu1879,1.0000
10.48550/arxiv.cond-mat/9909040,10.1103/physrevlett.83.5523,1.0000
10.48550/arxiv.2310.10641,10.1103/physrevd.108.104010,1.0000
10.48550/arxiv.2206.14235,10.1103/physrevc.106.054319,1.0000
10.48550/arxiv.1906.11677,10.1093/mnras/stz1780,1.0000
10.48550/arxiv.1301.4652,10.1016/j.nuclphysb.2013.04.014,0.8013
10.48550/arxiv.0808.3627,10.1016/j.aim.2008.12.014,1.0000
10.48550/arxiv.1212.0633,10.1093/mnras/sts527,1.0000
10.48550/arxiv.1703.06207,10.1038/s41467-017-02597-8,0.9845
10.48550/arxiv.2307.14456,10.1051/0004-6361/202347576,1.0000
10.48550/arxiv.1910.02836,10.3847/1538-4357/ab65f8,1.0000
10.48550/arxiv.0812.1655,10.1007/s00440-010-0292-9,1.0000
10.48550/arxiv.1002.1789,10.1103/physrevc.82.054319,0.9966
10.48550/arxiv.2006.14451,10.1093/mnras/staa1873,1.0000
10.48550/arxiv.1802.07505,10.1093/mnras/sty491,0.9951
10.48550/arxiv.2303.05042,10.3390/universe9030128,1.0000
10.48550/arxiv.1702.04287,10.1137/17m1116659,1.0000
10.48550/arxiv.2201.08088,10.1088/1361-648x/ac6d38,0.9278
10.48550/arxiv.1009.2223,10.1111/j.1365-2966.2010.17686.x,0.9322
10.48550/arxiv.0903.5000,10.2140/gtm.2007.11.349,0.8824
10.48550/arxiv.0806.2700,10.1007/978-0-387-89482-9_34,0.9482
10.48550/arxiv.cond-mat/0304523,10.1140/epjb/e2003-00209-1,1.0000
10.48550/arxiv.astro-ph/9907071,10.1023/a:1012694723985,1.0000
10.48550/arxiv.1508.07765,10.1007/s10701-016-0039-2,1.0000
10.48550/arxiv.1008.1413,10.1016/j.cpc.2010.10.019,1.0000
10.48550/arxiv.1907.10960,10.3847/1538-4357/ab3730,1.0000
10.48550/arxiv.1110.0519,,
10.48550/arxiv.1412.5505,10.1063/1.4904202,0.9667
10.48550/arxiv.cond-mat/0505542,10.1140/epjb/e2006-00153-6,1.0000
10.48550/arxiv.2008.09431,10.1016/j.scriptamat.2020.07.052,1.0000
10.48550/arxiv.nlin/0602062,10.1088/1742-6596/7/1/002,0.8824
10.48550/arxiv.cond-mat/0203612,10.1063/1.1495067,0.9957
10.48550/arxiv.nlin/0105041,10.1364/josab.19.000812,1.0000
10.48550/arxiv.math-ph/0209033,10.1088/0305-4470/35/43/306,0.9977
10.48550/arxiv.1807.09783,10.22331/q-2019-02-04-120,1.0000
10.48550/arxiv.astro-ph/0306045,10.1046/j.1365-8711.2003.06858.x,0.9293
10.48550/arxiv.1506.00328,10.1088/0004-637x/805/2/114,1.0000
10.48550/arxiv.2002.09816,10.1007/s10509-020-3744-4,1.0000
