run_number,min_score,max_score_diff,weight_year,weight_title,weight_author,F0.5,F1,F1.5,FN,FP,Positive Predictions,Positive References,Precision,Recall,TP
68,0.8,0.05,0.4,2.2,1.0,0.9687499999999999,0.9538461538461539,0.9445312499999999,5,2,95,100,0.9789473684210527,0.93,93
69,0.8,0.05,0.4,2.2,1.2,0.9710743801652891,0.9591836734693877,0.9517133956386291,4,2,96,100,0.9791666666666666,0.94,94
70,0.8,0.05,0.4,2.4,0.8,0.9663865546218486,0.9484536082474226,0.9373040752351098,6,2,94,100,0.9787234042553191,0.92,92
71,0.8,0.05,0.4,2.4,1.0,0.9687499999999999,0.9538461538461539,0.9445312499999999,5,2,95,100,0.9789473684210527,0.93,93
72,0.8,0.05,0.4,2.4,1.2,0.9687499999999999,0.9538461538461539,0.9445312499999999,5,2,95,100,0.9789473684210527,0.93,93
73,0.8,0.05,0.5,2.0,0.8,0.9687499999999999,0.9538461538461539,0.9445312499999999,5,2,95,100,0.9789473684210527,0.93,93
74,0.8,0.05,0.5,2.0,1.0,0.9733606557377048,0.9644670050761421,0.9588509316770187,3,2,97,100,0.979381443298969,0.95,95
75,0.8,0.05,0.5,2.0,1.2,0.9733606557377048,0.9644670050761421,0.9588509316770187,3,2,97,100,0.979381443298969,0.95,95
76,0.8,0.05,0.5,2.2,0.8,0.9687499999999999,0.9538461538461539,0.9445312499999999,5,2,95,100,0.9789473684210527,0.93,93
77,0.8,0.05,0.5,2.2,1.0,0.9687499999999999,0.9538461538461539,0.9445312499999999,5,2,95,100,0.9789473684210527,0.93,93
78,0.8,0.05,0.5,2.2,1.2,0.9733606557377048,0.9644670050761421,0.9588509316770187,3,2,97,100,0.979381443298969,0.95,95
79,0.8,0.05,0.5,2.4,0.8,0.9663865546218486,0.9484536082474226,0.9373040752351098,6,2,94,100,0.9787234042553191,0.92,92
80,0.8,0.05,0.5,2.4,1.0,0.9687499999999999,0.9538461538461539,0.9445312499999999,5,2,95,100,0.9789473684210527,0.93,93
81,0.8,0.05,0.5,2.4,1.2,0.9710743801652891,0.9591836734693877,0.9517133956386291,4,2,96,100,0.9791666666666666,0.94,94
82,0.85,0.03,0.3,2.0,0.8,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
83,0.85,0.03,0.3,2.0,1.0,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
84,0.85,0.03,0.3,2.0,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
85,0.85,0.03,0.3,2.2,0.8,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
86,0.85,0.03,0.3,2.2,1.0,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
87,0.85,0.03,0.3,2.2,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
88,0.85,0.03,0.3,2.4,0.8,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
89,0.85,0.03,0.3,2.4,1.0,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
90,0.85,0.03,0.3,2.4,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
91,0.85,0.03,0.4,2.0,0.8,0.9782608695652175,0.9473684210526316,0.9285714285714287,10,0,90,100,1.0,0.9,90
92,0.85,0.03,0.4,2.0,1.0,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
93,0.85,0.03,0.4,2.0,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
94,0.85,0.03,0.4,2.2,0.8,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
95,0.85,0.03,0.4,2.2,1.0,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
96,0.85,0.03,0.4,2.2,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
97,0.85,0.03,0.4,2.4,0.8,0.9639830508474575,0.9430051813471503,0.9300314465408804,7,2,93,100,0.978494623655914,0.91,91
98,0.85,0.03,0.4,2.4,1.0,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
99,0.85,0.03,0.4,2.4,1.2,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
100,0.85,0.03,0.5,2.0,0.8,0.9598214285714287,0.9197860962566845,0.8958333333333335,13,1,87,100,0.9885057471264368,0.86,86
101,0.85,0.03,0.5,2.0,1.0,0.9782608695652175,0.9473684210526316,0.9285714285714287,10,0,90,100,1.0,0.9,90
102,0.85,0.03,0.5,2.0,1.2,0.9758771929824561,0.9417989417989417,0.9211783439490445,11,0,89,100,1.0,0.89,89
103,0.85,0.03,0.5,2.2,0.8,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
104,0.85,0.03,0.5,2.2,1.0,0.9782608695652175,0.9473684210526316,0.9285714285714287,10,0,90,100,1.0,0.9,90
105,0.85,0.03,0.5,2.2,1.2,0.9758771929824561,0.9417989417989417,0.9211783439490445,11,0,89,100,1.0,0.89,89
106,0.85,0.03,0.5,2.4,0.8,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
107,0.85,0.03,0.5,2.4,1.0,0.9782608695652175,0.9473684210526316,0.9285714285714287,10,0,90,100,1.0,0.9,90
108,0.85,0.03,0.5,2.4,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
109,0.85,0.04,0.3,2.0,0.8,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
110,0.85,0.04,0.3,2.0,1.0,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
111,0.85,0.04,0.3,2.0,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
112,0.85,0.04,0.3,2.2,0.8,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
113,0.85,0.04,0.3,2.2,1.0,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
114,0.85,0.04,0.3,2.2,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
115,0.85,0.04,0.3,2.4,0.8,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
116,0.85,0.04,0.3,2.4,1.0,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
117,0.85,0.04,0.3,2.4,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
118,0.85,0.04,0.4,2.0,0.8,0.9782608695652175,0.9473684210526316,0.9285714285714287,10,0,90,100,1.0,0.9,90
119,0.85,0.04,0.4,2.0,1.0,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
120,0.85,0.04,0.4,2.0,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
121,0.85,0.04,0.4,2.2,0.8,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
122,0.85,0.04,0.4,2.2,1.0,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
123,0.85,0.04,0.4,2.2,1.2,0.9698275862068967,0.9424083769633509,0.9256329113924052,9,1,91,100,0.989010989010989,0.9,90
124,0.85,0.04,0.4,2.4,0.8,0.9639830508474575,0.9430051813471503,0.9300314465408804,7,2,93,100,0.978494623655914,0.91,91
125,0.85,0.04,0.4,2.4,1.0,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
126,0.85,0.04,0.4,2.4,1.2,0.9722222222222221,0.9479166666666667,0.9329652996845424,8,1,92,100,0.9891304347826086,0.91,91
